41	,	47	,	83
42	,	60	,	83
43	,	73	,	83
44	,	86	,	83
45	,	99	,	83
46	,	112	,	83
47	,	125	,	83
48	,	138	,	83
33	,	47	,	96
34	,	60	,	96
35	,	73	,	96
36	,	86	,	96
37	,	99	,	96
38	,	112	,	96
39	,	125	,	96
40	,	138	,	96
25	,	47	,	109
26	,	60	,	109
27	,	73	,	109
28	,	86	,	109
29	,	99	,	109
30	,	112	,	109
31	,	125	,	109
32	,	138	,	109
17	,	47	,	122
18	,	60	,	122
19	,	73	,	122
20	,	86	,	122
21	,	99	,	122
22	,	112	,	122
23	,	125	,	122
24	,	138	,	122
9	,	47	,	135
10	,	60	,	135
11	,	73	,	135
12	,	86	,	135
13	,	99	,	135
14	,	112	,	135
15	,	125	,	135
16	,	138	,	135
1	,	47	,	148
2	,	60	,	148
3	,	73	,	148
4	,	86	,	148
5	,	99	,	148
6	,	112	,	148
7	,	125	,	148
8	,	138	,	148
